bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"-73.9884377185,40.7219559751,-73.9872529861,40.7233743931",uuuu,85633793,,4914b7bb148525657e1c09af8028fea2,,45a994b1b1ad91f39d77b084f6600bb8,40.722665,-73.987852,1108911881,uuuu,US,US,1490900131,0,0,85977539,E Houston St  & Orchard St,85831563,110/891/188/1/1108911881.geojson,intersection,85688543,mapzen,,,US
"-73.9373279031,40.8238345348,-73.9319873162,40.8264675517",uuuu,85633793,,24a4395270521df4cb5d3b5fb4158c6c,,c87628b01a9150c710e5429157066091,40.825137,-73.934917,1108911889,uuuu,US,US,1490900131,0,0,85977539,7th Ave  & W 151st St,85865555,110/891/188/9/1108911889.geojson,intersection,85688543,mapzen,,,US
"-73.9376459365,40.8013772801,-73.9355727736,40.8031847259",uuuu,85633793,,d2d02de5f7d723cdc0e16f98ea584f9e,,bd363557896d1b4dbf05924e2f9bd663,40.802287,-73.936618,1108911055,uuuu,US,US,1490900131,0,0,85977539,3rd Ave  & E 123rd St,85865689,110/891/105/5/1108911055.geojson,intersection,85688543,mapzen,,,US
"-73.9580962033,40.7793633366,-73.956306234,40.7809889576",uuuu,85633793,,8d56782572967028ed7730745144b8f6,,e2b6087ab36223d0ed26f3535638dd71,40.780176,-73.957201,1108911057,uuuu,US,US,1490900131,0,0,85977539,E 86th St  & Park Ave,907196173,110/891/105/7/1108911057.geojson,intersection,85688543,mapzen,,,US
"-73.9994511935,40.744749867,-73.9965720559,40.7471438521",uuuu,85633793,,e876e291ffb524efdb9811d2a46ce017,,8f2056dfa3945bdd28adf8400ebd6341,40.745945,-73.998014,1108911053,uuuu,US,US,1490900131,0,0,85977539,W 24th St  & 8th Ave,85810589,110/891/105/3/1108911053.geojson,intersection,85688543,mapzen,,,US
"-73.9917495842,40.7604213442,-73.9888776461,40.7627918245",uuuu,85633793,,ee356fbd5310282301472c63752abf51,,17602ffc2c9b18886fb8a04799b290e3,40.761607,-73.990312,1108911059,uuuu,US,US,1490900131,0,0,85977539,9th Ave  & W 47th St,85882233,110/891/105/9/1108911059.geojson,intersection,85688543,mapzen,,,US
"-73.9882471573,40.7523682044,-73.986453504,40.7534615076",uuuu,85633793,,9aacb190282e55a7af1fb131510f8a0a,,a441edb8f7b10a421418a55fb0a9f4d7,40.752901,-73.987356,1108912495,uuuu,US,US,1490900131,0,0,85977539,Broadway  & W 38th St,907212749,110/891/249/5/1108912495.geojson,intersection,85688543,mapzen,,,US
"-73.9459543524,40.7781024877,-73.9434865271,40.7801026298",uuuu,85633793,,d582b7d88739c6946223723443267432,,069d2a00b6342f6b2c0f1adeeb20083d,40.779102,-73.944742,1108912497,uuuu,US,US,1490900131,0,0,85977539,E 91st St  & York Ave,907215779,110/891/249/7/1108912497.geojson,intersection,85688543,mapzen,,,US
"-73.9788350685,40.7414034442,-73.9761693834,40.7437268857",uuuu,85633793,,d30b31652b3a846180e4dc762853befb,,89d5e9f768eed467627338293bafba4b,40.742542,-73.977456,1108912493,uuuu,US,US,1490900131,0,0,85977539,2nd Ave  & E 30th St,907189665,110/891/249/3/1108912493.geojson,intersection,85688543,mapzen,,,US
"-73.9432363984,40.8116340828,-73.9408097957,40.8140093639",uuuu,85633793,,03319f8e6cc50d01107ca995223ccaa4,,4e632b102f76e83f51fd4dc2807c1f75,40.81289,-73.941922,1108912499,uuuu,US,US,1490900131,0,0,85977539,W 133rd St  & Malcolm X Blvd,85865555,110/891/249/9/1108912499.geojson,intersection,85688543,mapzen,,,US
"-74.0054406942,40.7333924339,-74.0037469208,40.7345472214",uuuu,85633793,,865990d69db31e05d655fe9e4f93a68b,,fd00162dd235fd4c4ae683368e60d853,40.734001,-74.004599,1108912855,uuuu,US,US,1490900131,0,0,85977539,W 10th St  & Bleecker St,85856577,110/891/285/5/1108912855.geojson,intersection,85688543,mapzen,,,US
"-73.9862015623,40.7325925101,-73.9847226707,40.7341107649",uuuu,85633793,,34aac6d7633a6a81e683e06f2232507e,,7d8673800f751e05b0114be25e22f61f,40.733294,-73.985532,1108912857,uuuu,US,US,1490900131,0,0,85977539,E 15th St  & Rutherford Pl,85865705,110/891/285/7/1108912857.geojson,intersection,85688543,mapzen,,,US
"-73.9413479122,40.8023319983,-73.9395626353,40.8039308909",uuuu,85633793,,9823dc913a51f5d12c3028ab2bba88f7,,7a7753e9b87c9a46a445be2e1a212c4d,40.803131,-73.940454,1108912853,uuuu,US,US,1490900131,0,0,85977539,E 122nd St  & Park Ave,85865689,110/891/285/3/1108912853.geojson,intersection,85688543,mapzen,,,US
"-73.9764294622,40.7528955811,-73.9750793764,40.7542593857",uuuu,85633793,,4a0aa9533b6b3ffe1d6c88d6e7ed3898,,0e08d0fad6f8f5cdc158dd8f9eca84b8,40.753565,-73.975739,1108912859,uuuu,US,US,1490900131,0,0,85977539,de Pew Pl  & E 45th St,907215785,110/891/285/9/1108912859.geojson,intersection,85688543,mapzen,,,US
"-74.0208895705,40.684656,-74.0179126947,40.6871605048",uuuu,85633793,,b50d46d18e299058604cb7e15c3edb65,,125f936e9495fff8b6b3817bd4e5eae9,40.685641,-74.019491,1108913035,uuuu,US,US,1490900131,0,0,85977539,Craig Rd S  & Icarus Rd,907131741,110/891/303/5/1108913035.geojson,intersection,85688543,mapzen,,,US
